name,country,region,climate_zone,period_start,year,period_of_year,ndvi_zscore,stress,gap_days,NDVI_lag1,EVI_lag1,SAVI_lag1,NDMI_lag1,ndvi_trend,evi_trend,tmax_mean,tmin_mean,precip_sum,humidity_mean,et0_sum,heat_days,dry_days,frost_days,lat,lon,month_sin,month_cos
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-05-09,2019,8,-0.18729930069796474,0,16.0,0.4554563681993471,0.4967642927241993,0.3570492209607528,0.1339688934993797,-0.08301532622428764,0.14450191304895083,15.65,9.5375,25.7,85.75,23.26,0.0,14.0,0.0,-39.34,174.28,0.49999999999999994,-0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-05-25,2019,9,0.2765626270036975,0,16.0,0.5200344598994003,0.3867036688108268,0.3156619906891424,0.2164859864943592,0.06457809170005324,-0.11006062391337251,14.8,8.35,57.300000000000004,83.875,18.23,0.0,13.0,0.0,-39.34,174.28,0.49999999999999994,-0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-06-10,2019,10,0.5759498658250078,0,16.0,0.578562663535779,0.3521497299716131,0.341645530830014,0.1886416533920481,0.05852820363637867,-0.034553938839213705,13.01875,7.4625,82.5,83.75,16.77,0.0,7.0,0.0,-39.34,174.28,1.2246467991473532e-16,-1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-06-26,2019,11,0.7851018758108039,0,16.0,0.5924874155608136,0.3874528684048147,0.3681226684036022,0.2093630068414393,0.013924752025034626,0.0353031384332016,11.8,6.0625,49.0,86.25,13.52,0.0,10.0,0.0,-39.34,174.28,1.2246467991473532e-16,-1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-08-13,2019,14,0.6058995053738673,0,16.0,0.5554294040069677,0.3858511848079255,0.3552567716933139,0.1777386152382834,0.00631992405781634,0.009751945257475414,11.21875,6.48125,68.4,83.8125,17.5,0.0,5.0,0.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-08-29,2019,15,-5.96775865593896,1,16.0,0.5516103837724338,0.3839864353249522,0.3495931899285611,0.1777692995163034,-0.003819020234533954,-0.0018647494829733269,10.89375,5.6499999999999995,48.3,81.625,21.8,0.0,10.0,1.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-09-14,2019,16,-1.156305603589898,1,16.0,0.4581786077059526,0.3380496804384872,0.2758732725459582,0.16246782245393,-0.09343177606648118,-0.04593675488646498,12.4875,6.1,76.8,85.0625,21.21,0.0,6.0,0.0,-39.34,174.28,-1.0,-1.8369701987210297e-16
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-09-30,2019,17,-0.5523761052775633,0,16.0,0.5156734462574133,0.4807465475477415,0.3942396697082142,0.1396057908131859,0.0574948385514607,0.14269686710925428,13.175,6.09375,53.5,81.3125,32.589999999999996,0.0,9.0,0.0,-39.34,174.28,-1.0,-1.8369701987210297e-16
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-10-16,2019,18,-0.40530712507888955,0,16.0,0.5167022901060471,0.4342286253130874,0.3558821244655452,0.2352932961349592,0.0010288438486337759,-0.04651792223465406,13.73125,7.05,74.7,85.25,29.259999999999998,0.0,4.0,0.0,-39.34,174.28,-0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-11-01,2019,19,0.9074360614395268,0,16.0,0.550740855099671,0.4532913797676603,0.397383968811855,0.1012497733030683,0.0340385649936239,0.019062754454572894,14.6375,8.3375,53.8,79.75,41.2,0.0,9.0,0.0,-39.34,174.28,-0.5000000000000004,0.8660254037844384
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-11-17,2019,20,-2.1762504892479964,1,16.0,0.5740914664497574,0.459460627514454,0.4124054617798738,0.1494205501845608,0.023350611350086425,0.006169247746793671,17.65,10.58125,62.099999999999994,80.875,51.77,0.0,10.0,0.0,-39.34,174.28,-0.5000000000000004,0.8660254037844384
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-12-03,2019,21,0.4321546569553751,0,16.0,0.3820860186963338,0.5481012583918825,0.3229357991560415,0.1841503007423922,-0.1920054477534236,0.08864063087742852,18.43125,11.025,40.0,80.0,55.64,0.0,10.0,0.0,-39.34,174.28,-2.4492935982947064e-16,1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2019-12-19,2019,22,0.04942962409928451,0,16.0,0.5443695881383275,0.4233833762418147,0.3761569283370204,0.0888666909198965,0.16228356944199368,-0.1247178821500678,18.1875,11.56875,143.5,81.6875,52.39,0.0,7.0,0.0,-39.34,174.28,-2.4492935982947064e-16,1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-01-04,2020,0,-1.0799141992511883,1,16.0,0.5316195793384428,0.394549857984658,0.3329388896421428,0.1017430943482926,-0.012750008799884638,-0.028833518257156687,17.876923076923077,10.53076923076923,18.1,80.0,48.69,0.0,11.0,0.0,-39.34,174.28,0.49999999999999994,0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-01-20,2020,1,-2.7847822355397076,1,16.0,0.4933873473137062,0.3434070698586871,0.3287110852612729,0.0194280892478744,-0.038232232024736634,-0.05114278812597095,18.0625,10.1375,16.700000000000003,75.6875,65.04,0.0,13.0,0.0,-39.34,174.28,0.49999999999999994,0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-02-05,2020,2,-1.2428594581900188,1,16.0,0.3769625969220623,0.2978597115225468,0.2639822385375643,-0.0367113726105893,-0.1164247503916439,-0.045547358336140265,22.925,13.61875,6.2,77.5,71.27,0.0,15.0,0.0,-39.34,174.28,0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-02-21,2020,3,-0.6901618092194536,0,16.0,0.3534137181127267,0.2868343606903736,0.2474214132206391,-0.0086484098224449,-0.023548878809335594,-0.011025350832173209,21.775,13.03125,17.1,76.3125,63.989999999999995,0.0,13.0,0.0,-39.34,174.28,0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-03-08,2020,4,-1.0516570296363754,1,16.0,0.3438122281234028,0.3144804512065334,0.2474378818564779,0.0140297589776133,-0.00960148998932392,0.027646090516159794,20.9375,13.475,52.1,79.375,53.76,0.0,10.0,0.0,-39.34,174.28,1.0,6.123233995736766e-17
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-03-24,2020,5,-1.34437986972203,1,16.0,0.449978566033348,0.3738653583818795,0.2998342335453884,0.1213753048711113,0.10616633790994523,0.05938490717534611,18.40625,10.475,20.0,77.4375,46.12,0.0,13.0,0.0,-39.34,174.28,1.0,6.123233995736766e-17
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-04-09,2020,6,1.308226892936601,0,16.0,0.4840379658431579,0.3078473838790391,0.2969709727173922,0.0704214679358148,0.034059399809809876,-0.06601797450284042,17.0125,10.53125,38.0,82.6875,33.91,0.0,11.0,0.0,-39.34,174.28,0.8660254037844387,-0.4999999999999998
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-04-25,2020,7,0.9224788828446293,0,16.0,0.5679336050891938,0.3672936037526722,0.3442560172653294,0.0819008804507462,0.08389563924603588,0.05944621987363313,15.83125,9.75625,55.99999999999999,81.125,27.72,0.0,8.0,0.0,-39.34,174.28,0.8660254037844387,-0.4999999999999998
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-05-11,2020,8,0.08403479829032277,0,16.0,0.5613639201912752,0.3605095475890791,0.344922149620555,0.1323043060111106,-0.006569684897918537,-0.006784056163593122,15.475,8.84375,75.4,84.5625,23.14,0.0,12.0,0.0,-39.34,174.28,0.49999999999999994,-0.8660254037844387
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-06-28,2020,11,-5.22259332593867,1,16.0,0.4877642456524129,0.344719831518636,0.2974050581553051,0.1825801424650627,-0.05882348116334152,0.003608677273938987,12.60625,7.2375,104.1,88.1875,12.540000000000001,0.0,7.0,0.0,-39.34,174.28,1.2246467991473532e-16,-1.0
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-08-15,2020,14,0.3846466881363891,0,16.0,0.543521424906752,0.3958286488461032,0.3512253664959697,0.1221538281483114,0.19047299381751515,0.03481060612728709,11.99375,5.9125,43.7,84.0625,17.54,0.0,13.0,0.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-08-31,2020,15,0.5429998174669511,0,16.0,0.5313306973677254,0.3833946351189111,0.3490963463319899,0.0804923214299503,-0.012190727539026613,-0.012434013727192106,11.50625,5.1812499999999995,52.5,83.375,20.06,0.0,8.0,0.0,-39.34,174.28,-0.8660254037844385,-0.5000000000000004
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-09-16,2020,16,-1.1842952757431566,1,16.0,0.5352633430561614,0.4478374784583384,0.3835394258980319,0.1315597821965937,0.003932645688435987,0.06444284333942729,12.3,4.93125,41.0,83.5625,25.56,0.0,10.0,0.0,-39.34,174.28,-1.0,-1.8369701987210297e-16
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-10-02,2020,17,0.336034429544167,0,16.0,0.5150024410816936,0.4219086216383381,0.3187211078990981,0.2639793871812878,-0.020260901974467838,-0.02592885682000029,13.5625,8.06875,90.5,82.0625,29.75,0.0,8.0,0.0,-39.34,174.28,-0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-10-18,2020,18,-3.2463951471946735,1,16.0,0.5461852370831326,0.4813143167287502,0.3973284921523463,0.1302902958983155,0.031182796001439028,0.0594056950904121,14.65625,7.58125,72.4,80.25,36.24,0.0,10.0,0.0,-39.34,174.28,-0.8660254037844386,0.5000000000000001
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-11-03,2020,19,-5.430928980632183,1,16.0,0.5199660416516753,0.4608573998034815,0.376103356831129,0.1039690703316018,-0.026219195431457343,-0.020456916925268687,15.9,9.8875,80.4,87.0,32.78,0.0,4.0,0.0,-39.34,174.28,-0.5000000000000004,0.8660254037844384
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-11-19,2020,20,1.2650359630052592,0,16.0,0.417157317807673,0.3532960352584739,0.3030617916788079,0.1464719871623775,-0.10280872384400225,-0.10756136454500759,17.21875,10.6875,164.8,86.3125,38.96,0.0,5.0,0.0,-39.34,174.28,-0.5000000000000004,0.8660254037844384
Stratford,New Zealand,Taranaki,maritime_dairy_pasture,2020-12-05,2020,21,0.9216764173612386,0,16.0,0.5491373738240242,0.5036052844531097,0.4104889671081982,0.1033959764411125,0.13198005601635115,0.15030924919463579,16.675,9.475,171.20000000000002,82.125,43.49,0.0,5.0,0.0,-39.34,174.28,-2.4492935982947064e-16,1.0
